,food,ndbList,ndbNumber,group,measures,name,nutrient_id,unit,value
10,watermelon,0,09326,Minerals,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '17'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '17'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '497'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '31'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '13'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '31'}]","Phosphorus, P",305,mg,11
11,watermelon,0,09326,Minerals,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '172'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '170'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '5060'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '320'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '137'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '314'}]","Potassium, K",306,mg,112
12,watermelon,0,09326,Minerals,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '2'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '2'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '45'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '3'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '1'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '3'}]","Sodium, Na",307,mg,1
13,watermelon,0,09326,Minerals,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.15'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.15'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '4.52'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.29'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.12'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.28'}]","Zinc, Zn",309,mg,0.10
14,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '12.5'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '12.3'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '366.0'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '23.2'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '9.9'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '22.7'}]","Vitamin C, total ascorbic acid",401,mg,8.1
15,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.051'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.050'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '1.491'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.094'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.040'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.092'}]",Thiamin,404,mg,0.033
16,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.032'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.032'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.949'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.060'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.026'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.059'}]",Riboflavin,405,mg,0.021
17,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.274'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.271'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '8.042'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.509'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.217'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.498'}]",Niacin,406,mg,0.178
18,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.069'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.068'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '2.033'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.129'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.055'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.126'}]",Vitamin B-6,415,mg,0.045
19,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '5'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '5'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '136'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '9'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '4'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '8'}]","Folate, DFE",435,µg,3
